ID	name	Binom_Genome_Fraction	Binom_Expected	Binom_Observed_Region_Hits	Binom_Fold_Enrichment	Binom_Region_Set_Coverage	Binom_Raw_PValue	Binom_Adjp_BH	Hyper_Total_Genes	Hyper_Expected	Hyper_Observed_Gene_Hits	Hyper_Fold_Enrichment	Hyper_Gene_Set_Coverage	Hyper_Term_Gene_Coverage	Hyper_Raw_PValue	Hyper_Adjp_BH
GO:0005623	cell	0.898121	35220.71	37133	1.054294	0.9468839	6.313735e-266	3.6367113599999996e-263	16433	11791.12	12021	1.019496	0.8922289	0.7315159	2.542628e-28	2.312453254736842e-26
GO:0044464	cell part	0.8978193	35208.88	37115	1.054137	0.9464249	3.571128e-263	1.542727296e-260	16405	11771.03	12007	1.020047	0.8911898	0.731911	1.909771e-29	1.83338016e-27
GO:0005622	intracellular	0.8286551	32496.54	35553	1.094055	0.9065942	0.0	0.0	14472	10384.05	11014	1.060665	0.8174868	0.7610558	8.700296e-124	7.517055743999998e-121
GO:0044424	intracellular part	0.8161994	32008.08	35162	1.098535	0.8966238	0.0	0.0	14132	10140.09	10805	1.065573	0.8019743	0.7645768	2.857671e-131	4.938055488e-128
GO:0043226	organelle	0.791172	31026.6	33565	1.081814	0.8559007	2.5088329999999998e-238	7.22543904e-236	13296	9540.236	10131	1.061923	0.7519483	0.7619585	2.046779e-95	5.89472352e-93
GO:0043227	membrane-bounded organelle	0.7563244	29660.02	32142	1.083681	0.8196144	2.245828e-200	5.543986834285714e-198	12319	8839.212	9485	1.073059	0.7040006	0.7699489	2.7841350000000003e-105	1.20274632e-102
GO:0043229	intracellular organelle	0.750962	29449.73	32177	1.092608	0.8205069	3.932077e-239	1.3589258112e-236	12367	8873.653	9508	1.071487	0.7057077	0.7688202	5.489771e-102	1.8972648576e-99
GO:0005737	cytoplasm	0.718849	28190.38	29983	1.06359	0.7645604	1.189994e-93	1.370873088e-91	11263	8081.504	8654	1.07084	0.6423217	0.7683566	2.767567e-79	3.98529648e-77
GO:0043231	intracellular membrane-bounded organelle	0.6843317	26836.75	29306	1.09201	0.747297	3.025711e-165	6.535535760000001e-163	10646	7638.79	8330	1.090487	0.6182736	0.7824535	9.39468e-113	5.41133568e-110
GO:0044444	cytoplasmic part	0.6137674	24069.5	26203	1.088639	0.6681712	7.033944e-111	1.1049686574545454e-108	9360	6716.05	7266	1.081886	0.5393008	0.7762821	1.114638e-71	1.37578176e-69
GO:0044422	organelle part	0.5980191	23451.92	25896	1.104217	0.6603427	7.471747e-143	1.2911178816000001e-140	9078	6513.708	7114	1.092158	0.528019	0.7836528	2.040621e-85	3.526193088e-83
GO:0044446	intracellular organelle part	0.5859578	22978.92	25607	1.114369	0.6529733	3.308881e-163	6.353051520000001e-161	8863	6359.44	6981	1.097738	0.5181474	0.7876565	7.252605e-92	1.7903573485714286e-89
GO:0005634	nucleus	0.5081718	19928.46	21611	1.084429	0.5510761	3.563645e-65	3.07898928e-63	7109	5100.898	5603	1.098434	0.4158688	0.7881559	5.463056e-65	6.293440512000001e-63
GO:0032991	macromolecular complex	0.3825065	15000.37	15797	1.053107	0.4028203	8.187659000000001e-17	1.911929020540541e-15	5073	3640.013	4006	1.100545	0.2973354	0.7896708	1.907275e-42	1.93868894117647e-40
GO:0070013	intracellular organelle lumen	0.3732567	14637.64	16769	1.145609	0.4276061	4.1257589999999996e-108	5.941092960000001e-106	5058	3629.25	4158	1.145691	0.3086172	0.8220641	1.754199e-88	3.78906984e-86
